src,dst,timestamp,event_weight,channel_code,priority,response_time
A,B,2026-04-01 09:00:00,1.0,0,1,2.5
B,C,2026-04-01 09:07:00,0.7,1,0,1.0
A,D,2026-04-01 09:15:00,1.2,0,1,3.2
E,B,2026-04-01 09:28:00,0.5,2,0,0.8
C,F,2026-04-01 09:41:00,0.9,1,0,1.5
D,A,2026-04-01 09:55:00,1.1,0,1,2.2
G,H,2026-04-01 10:03:00,0.6,2,0,0.5
A,C,2026-04-01 10:18:00,1.3,1,1,2.8
F,B,2026-04-01 10:35:00,0.8,0,0,1.9
H,D,2026-04-01 10:49:00,1.0,1,1,2.1
B,A,2026-04-01 11:02:00,1.4,0,1,3.0
C,D,2026-04-01 11:16:00,0.9,2,0,1.4
E,F,2026-04-01 11:29:00,0.4,1,0,0.9
D,H,2026-04-01 11:45:00,1.2,0,1,2.7
A,H,2026-04-01 12:00:00,1.5,1,1,3.5
